cycle,test_group,test_type,prosthesis,pair,metric,pvalue,pvalue_holm,pvalue_bonferroni,cohens_d
cycle,g1,mannwhitneyu,Mech-none,(S-A)-(Contra),toe_var,0.12562273144591832,0.25124546289183664,0.75373638867551,0.49193945722523263
cycle,g1,mannwhitneyu,Mech-none,(S-A)-(Contra),total_var,2.5650016061046447e-06,1.5390009636627867e-05,1.5390009636627867e-05,-3.7844411424367865
cycle,g1,mannwhitneyu,Mech-none,(S-S)-(Same),angle_var,7.234548344887614e-06,2.170364503466284e-05,4.340729006932568e-05,-2.1302642391162827
cycle,g1,mannwhitneyu,Mech-none,(S-S)-(Same),hangle,0.00016593785618432708,0.0004978135685529812,0.0009956271371059624,-1.6443801671572613
cycle,g1,mannwhitneyu,Mech-none,(S-S)-(Same),htoe,0.0011086602532527725,0.00443464101301109,0.006651961519516635,1.5842015145274204
cycle,g1,mannwhitneyu,Mech-none,(S-S)-(Same),inter_dependence,0.1653065096709535,0.4959195290128605,0.991839058025721,0.5098906390876391
cycle,g1,mannwhitneyu,Mech-none,(S-S)-(Same),inter_dependence_prop,0.0804954300479132,0.1609908600958264,0.48297258028747914,0.6403706042281743
cycle,g1,mannwhitneyu,Mech-none,(S-S)-(Same),mi,0.1653065096709535,0.4959195290128605,0.991839058025721,0.5098906390876391
cycle,g1,mannwhitneyu,Mech-none,(S-S)-(Same),toe_var,0.020103066753689135,0.060309200261067404,0.12061840052213481,0.9251435791631303
cycle,g1,mannwhitneyu,Mech-none,(S-S)-(Same),total_var,0.18838602104430702,0.37677204208861403,1.0,-0.6176894217232168
cycle,g2,wilcoxon,Ech,(A-A)-(S-S),angle_var,0.0009765625,0.001953125,0.005859375,-2.3132823604080417
cycle,g2,wilcoxon,Ech,(A-A)-(S-S),hangle,0.00244140625,0.0048828125,0.0146484375,-2.3025401922476076
cycle,g2,wilcoxon,Ech,(A-A)-(S-S),htoe,0.0068359375,0.013671875,0.041015625,1.0303471783460376
cycle,g2,wilcoxon,Ech,(A-A)-(S-S),inter_dependence,0.06396484375,0.255859375,0.3837890625,0.6347111914289216
cycle,g2,wilcoxon,Ech,(A-A)-(S-S),inter_dependence_prop,0.02099609375,0.10498046875,0.1259765625,0.8642035744848643
cycle,g2,wilcoxon,Ech,(A-A)-(S-S),mi,0.06396484375,0.255859375,0.3837890625,0.6347111914289216
cycle,g2,wilcoxon,Ech,(A-A)-(S-S),toe_var,0.2333984375,0.2333984375,1.0,0.3906048210485491
cycle,g2,wilcoxon,Ech,(A-A)-(S-S),total_var,0.00146484375,0.00439453125,0.0087890625,-1.2287476018206074
cycle,g2,mannwhitneyu,Ech-none,(A-A)-(Same),angle_var,2.148485851840218e-06,1.2890915111041308e-05,1.2890915111041308e-05,-6.406266726344573
cycle,g2,mannwhitneyu,Ech-none,(A-A)-(Same),hangle,2.148485851840218e-06,1.2890915111041308e-05,1.2890915111041308e-05,-7.256830753371266
cycle,g2,mannwhitneyu,Ech-none,(A-A)-(Same),htoe,8.561832062637975e-06,5.137099237582785e-05,5.137099237582785e-05,3.2441815467567676
cycle,g2,mannwhitneyu,Ech-none,(A-A)-(Same),inter_dependence,0.002619960133175005,0.01571976079905003,0.01571976079905003,1.4826306342046505
cycle,g2,mannwhitneyu,Ech-none,(A-A)-(Same),inter_dependence_prop,0.0014260860151498996,0.008556516090899398,0.008556516090899398,1.8184889582350203
cycle,g2,mannwhitneyu,Ech-none,(A-A)-(Same),mi,0.002619960133175005,0.01571976079905003,0.01571976079905003,1.4826306342046505
cycle,g2,mannwhitneyu,Ech-none,(A-A)-(Same),toe_var,0.0005783250649334124,0.0028916253246670616,0.003469950389600474,1.5417041534928126
cycle,g2,mannwhitneyu,Ech-none,(A-A)-(Same),total_var,5.8649119095416946e-05,0.0002932455954770847,0.0003518947145725017,-2.4824019757325404
cycle,g2,mannwhitneyu,Ech-none,(A-S)-(Contra),angle_var,4.332038711823107e-06,1.732815484729243e-05,2.5992232270938646e-05,-2.2228537770220815
cycle,g2,mannwhitneyu,Ech-none,(A-S)-(Contra),hangle,0.0009757360623822111,0.0039029442495288444,0.005854416374293267,-1.4880247221990104
cycle,g2,mannwhitneyu,Ech-none,(A-S)-(Contra),htoe,8.561832062637975e-06,5.137099237582785e-05,5.137099237582785e-05,3.35642817849185
cycle,g2,mannwhitneyu,Ech-none,(A-S)-(Contra),inter_dependence,0.13476934740716576,0.4043080422214973,0.8086160844429946,0.8571514042797561
cycle,g2,mannwhitneyu,Ech-none,(A-S)-(Contra),inter_dependence_prop,0.10106627292864304,0.20213254585728607,0.6063976375718583,0.7984406418675374
cycle,g2,mannwhitneyu,Ech-none,(A-S)-(Contra),mi,0.13476934740716576,0.4043080422214973,0.8086160844429946,0.8571514042797561
cycle,g2,mannwhitneyu,Ech-none,(A-S)-(Contra),toe_var,0.00010704974714847481,0.0006422984828908489,0.0006422984828908489,1.8540257389889552
cycle,g2,mannwhitneyu,Ech-none,(A-S)-(Contra),total_var,0.2137596254552786,0.4275192509105572,1.0,0.1461001607766658
cycle,g2,wilcoxon,Ech,(A-S)-(S-A),angle_var,0.00146484375,0.001953125,0.0087890625,1.8310804419031443
cycle,g2,wilcoxon,Ech,(A-S)-(S-A),hangle,0.00244140625,0.0048828125,0.0146484375,2.1171219321880645
cycle,g2,wilcoxon,Ech,(A-S)-(S-A),htoe,0.00927734375,0.013671875,0.0556640625,0.9554026886832737
cycle,g2,wilcoxon,Ech,(A-S)-(S-A),inter_dependence,0.4697265625,0.6433406825312147,1.0,0.3787979868544874
cycle,g2,wilcoxon,Ech,(A-S)-(S-A),inter_dependence_prop,0.67724609375,0.67724609375,1.0,-0.17188677860102333
cycle,g2,wilcoxon,Ech,(A-S)-(S-A),mi,0.4697265625,0.6433406825312147,1.0,0.3787979868544874
cycle,g2,wilcoxon,Ech,(A-S)-(S-A),toe_var,0.06396484375,0.1279296875,0.3837890625,0.46587091539453035
cycle,g2,wilcoxon,Ech,(A-S)-(S-A),total_var,0.0009765625,0.00390625,0.005859375,1.6347612615389087
cycle,g2,mannwhitneyu,Ech-none,(S-A)-(Contra),angle_var,2.148485851840218e-06,1.2890915111041308e-05,1.2890915111041308e-05,-6.448832219624838
cycle,g2,mannwhitneyu,Ech-none,(S-A)-(Contra),hangle,2.148485851840218e-06,1.2890915111041308e-05,1.2890915111041308e-05,-7.241133772935932
cycle,g2,mannwhitneyu,Ech-none,(S-A)-(Contra),htoe,0.0011086602532527725,0.00443464101301109,0.006651961519516635,1.592497817644787
cycle,g2,mannwhitneyu,Ech-none,(S-A)-(Contra),inter_dependence,0.32167034126560734,0.6433406825312147,1.0,0.3967685042860477
cycle,g2,mannwhitneyu,Ech-none,(S-A)-(Contra),inter_dependence_prop,0.038250879960103464,0.12805747773305354,0.2295052797606208,0.9705018311621084
cycle,g2,mannwhitneyu,Ech-none,(S-A)-(Contra),mi,0.32167034126560734,0.6433406825312147,1.0,0.3967685042860477
cycle,g2,mannwhitneyu,Ech-none,(S-A)-(Contra),toe_var,0.006511801598046021,0.026047206392184084,0.03907080958827613,1.0845953324873867
cycle,g2,mannwhitneyu,Ech-none,(S-A)-(Contra),total_var,7.234548344887614e-06,4.340729006932568e-05,4.340729006932568e-05,-2.4938356025516124
cycle,g2,mannwhitneyu,Ech-none,(S-S)-(Same),angle_var,0.0001240437188993622,0.00037213115669808657,0.0007442623133961731,-1.7219326667491057
cycle,g2,mannwhitneyu,Ech-none,(S-S)-(Same),hangle,0.0009757360623822111,0.0039029442495288444,0.005854416374293267,-1.4404448421509741
cycle,g2,mannwhitneyu,Ech-none,(S-S)-(Same),htoe,0.003313441272231717,0.009940323816695152,0.019880647633390303,1.4745316490617435
cycle,g2,mannwhitneyu,Ech-none,(S-S)-(Same),inter_dependence,0.03501424123648352,0.17507120618241762,0.21008544741890112,0.6720563410329532
cycle,g2,mannwhitneyu,Ech-none,(S-S)-(Same),inter_dependence_prop,0.032014369433263384,0.12805747773305354,0.1920862165995803,0.7566930944789572
cycle,g2,mannwhitneyu,Ech-none,(S-S)-(Same),mi,0.03501424123648352,0.17507120618241762,0.21008544741890112,0.6720563410329532
cycle,g2,mannwhitneyu,Ech-none,(S-S)-(Same),toe_var,0.024300563318124944,0.07290168995437483,0.14580337990874967,0.857380445435897
cycle,g2,mannwhitneyu,Ech-none,(S-S)-(Same),total_var,0.30438811237355545,0.4275192509105572,1.0,-0.4058316764427133
cycle,g3,wilcoxon,none,(L-L)-(R-R),angle_var,0.4434065818786621,0.4434065818786621,1.0,0.16802746406729982
cycle,g3,wilcoxon,none,(L-L)-(R-R),hangle,0.4060330390930176,0.8268799781799316,1.0,-0.13548165757685585
cycle,g3,wilcoxon,none,(L-L)-(R-R),htoe,0.12888002395629883,0.27519750595092773,0.3866400718688965,0.39003278949729475
cycle,g3,wilcoxon,none,(L-L)-(R-R),inter_dependence,0.005275726318359375,0.01055145263671875,0.015827178955078125,-0.5421645748520466
cycle,g3,wilcoxon,none,(L-L)-(R-R),inter_dependence_prop,0.0083160400390625,0.01055145263671875,0.0249481201171875,-0.5860379949212483
cycle,g3,wilcoxon,none,(L-L)-(R-R),mi,0.005275726318359375,0.01055145263671875,0.015827178955078125,-0.5421645748520466
cycle,g3,wilcoxon,none,(L-L)-(R-R),toe_var,0.015583038330078125,0.015583038330078125,0.046749114990234375,0.5829887248773024
cycle,g3,wilcoxon,none,(L-L)-(R-R),total_var,0.09841060638427734,0.09841060638427734,0.29523181915283203,0.4025024760125673
cycle,g3,wilcoxon,none,(L-R)-(R-L),angle_var,0.03587532043457031,0.07175064086914062,0.10762596130371094,0.5749177697886061
cycle,g3,wilcoxon,none,(L-R)-(R-L),hangle,0.5445904731750488,0.8268799781799316,1.0,0.15897636262242354
cycle,g3,wilcoxon,none,(L-R)-(R-L),htoe,0.09173250198364258,0.27519750595092773,0.27519750595092773,0.3870179626347566
cycle,g3,wilcoxon,none,(L-R)-(R-L),inter_dependence,0.015583038330078125,0.015583038330078125,0.046749114990234375,-0.4712155181028269
cycle,g3,wilcoxon,none,(L-R)-(R-L),inter_dependence_prop,0.005275726318359375,0.01055145263671875,0.015827178955078125,-0.593730912709643
cycle,g3,wilcoxon,none,(L-R)-(R-L),mi,0.015583038330078125,0.015583038330078125,0.046749114990234375,-0.4712155181028269
cycle,g3,wilcoxon,none,(L-R)-(R-L),toe_var,0.0014548301696777344,0.0029096603393554688,0.004364490509033203,0.5951021539654934
cycle,g3,wilcoxon,none,(L-R)-(R-L),total_var,0.0021948814392089844,0.004389762878417969,0.006584644317626953,0.674103734424384
cycle,g3,wilcoxon,none,(Same)-(Contra),angle_var,2.384185791015625e-06,7.152557373046875e-06,7.152557373046875e-06,1.3688950982006298
cycle,g3,wilcoxon,none,(Same)-(Contra),hangle,0.27562665939331055,0.8268799781799316,0.8268799781799316,0.016632299619029664
cycle,g3,wilcoxon,none,(Same)-(Contra),htoe,0.6556386947631836,0.6556386947631836,1.0,0.0012468355139756628
cycle,g3,wilcoxon,none,(Same)-(Contra),inter_dependence,9.5367431640625e-07,2.86102294921875e-06,2.86102294921875e-06,-1.865617801224552
cycle,g3,wilcoxon,none,(Same)-(Contra),inter_dependence_prop,9.5367431640625e-07,2.86102294921875e-06,2.86102294921875e-06,-1.9215350171337193
cycle,g3,wilcoxon,none,(Same)-(Contra),mi,9.5367431640625e-07,2.86102294921875e-06,2.86102294921875e-06,-1.865617801224552
cycle,g3,wilcoxon,none,(Same)-(Contra),toe_var,4.76837158203125e-07,1.430511474609375e-06,1.430511474609375e-06,0.932335120049697
