cycle,test_group,test_type,prosthesis,pair,n1,n2,omnibus_pval,omnibus_significant,T2,mahalanobis_D,posthoc_test,ilr1_pval,ilr1_pval_bonf,ilr1_cohens_d,ilr1_significant,ilr2_pval,ilr2_pval_bonf,ilr2_cohens_d,ilr2_significant,toe_clr_pval,toe_clr_pval_bonf,toe_clr_cohens_d,toe_clr_significant,angle_clr_pval,angle_clr_pval_bonf,angle_clr_cohens_d,angle_clr_significant,inter_dep_clr_pval,inter_dep_clr_pval_bonf,inter_dep_clr_cohens_d,inter_dep_clr_significant
cycle,g3,paired,none,(R-R)-(L-L),22,22,0.015871784933944942,True,10.780206712756286,0.7000067114209525,wilcoxon,0.005275726318359375,0.01055145263671875,0.6187268715537104,True,0.032894134521484375,0.06578826904296875,0.5248023462943887,False,0.009274482727050781,0.027823448181152344,-0.6459251756362717,True,0.20992755889892578,0.6297826766967773,-0.18710015561971,False,0.005275726318359375,0.015827178955078125,0.6187268715537093,True
cycle,g3,paired,none,(R-L)-(L-R),22,22,0.013545986291395884,True,11.287783431278232,0.716296771637358,wilcoxon,0.004684925079345703,0.009369850158691406,0.6323870333845116,True,0.02513885498046875,0.0502777099609375,0.4225205857445235,False,0.005275726318359375,0.015827178955078125,-0.58554412806811,True,0.1761918067932129,0.5285754203796387,-0.277724684562665,False,0.004684925079345703,0.01405477523803711,0.6323870333845125,True
cycle,g3,paired,none,(Same)-(Contra),22,22,4.906914110093056e-08,True,92.01561407007068,2.0451229577401797,wilcoxon,9.5367431640625e-07,1.9073486328125e-06,-1.8992025245629602,True,4.76837158203125e-07,9.5367431640625e-07,-0.510293692786185,True,4.76837158203125e-07,1.430511474609375e-06,1.3698231855329435,True,1.430511474609375e-06,4.291534423828125e-06,1.7290821500474742,True,9.5367431640625e-07,2.86102294921875e-06,-1.8992025245629616,True
cycle,g1,paired,Mech,(A-A)-(S-S),12,12,7.77241970894925e-05,True,61.993037452881985,2.2729026495665914,wilcoxon,0.0009765625,0.001953125,1.2698155899940617,True,0.0009765625,0.001953125,-2.2878265119369856,True,0.6220703125,1.0,0.24157618692213093,False,0.00048828125,0.00146484375,-3.0328001132530704,True,0.0009765625,0.0029296875,1.2698155899940617,True
cycle,g1,paired,Mech,(A-S)-(S-A),12,12,0.007946002191712992,True,17.930966942481163,1.2223940629791865,wilcoxon,0.02685546875,0.0537109375,-0.9901244241307176,False,0.04248046875,0.0849609375,1.0581564985896923,False,0.7333984375,1.0,0.28626044880304946,False,0.00244140625,0.00732421875,1.7563573919863693,True,0.02685546875,0.08056640625,-0.9901244241307176,False
cycle,g1,unpaired,Mech-none,(A-A)-(Same),12,22,8.050719085099821e-18,True,373.5079325051149,6.728572566934147,mannwhitney,0.00019157015350537124,0.0003831403070107425,2.2365105166930426,True,2.148485851840218e-06,4.296971703680436e-06,-5.742810227302516,True,0.0052236847465871265,0.01567105423976138,1.235558026598588,True,2.148485851840218e-06,6.445457555520654e-06,-5.845158943558795,True,0.00019157015350537124,0.0005747104605161137,2.236510516693044,True
cycle,g1,unpaired,Mech-none,(S-S)-(Same),12,22,8.464886900891083e-07,True,46.8708198187167,2.383550186838486,mannwhitney,0.1653065096709535,0.330613019341907,0.33211623182344535,False,0.0007530302153165608,0.0015060604306331216,-1.7077745430612454,True,0.11696722987709804,0.3509016896312941,0.6453605524171837,False,0.0001240437188993622,0.00037213115669808657,-2.1218518056119002,True,0.1653065096709535,0.4959195290128605,0.33211623182344585,False
cycle,g1,unpaired,Mech-none,(A-S)-(Contra),12,22,5.0662951477211234e-12,True,139.34823068183206,4.109829026626395,mannwhitney,0.482223267081214,0.964446534162428,0.1869287476472802,False,3.6422294243617327e-06,7.284458848723465e-06,-3.1319518856663833,True,0.0099753922418749,0.029926176725624698,1.2837676018489779,True,8.561832062637975e-06,2.5685496187913926e-05,-3.0454738730106192,True,0.482223267081214,1.0,0.1869287476472799,False
cycle,g1,unpaired,Mech-none,(S-A)-(Contra),12,22,1.5627822576580373e-15,True,256.65716035437123,5.577630216394135,mannwhitney,0.0011086602532527725,0.002217320506505545,1.692581694697417,True,2.5650016061046447e-06,5.130003212209289e-06,-4.349818417375274,True,0.007257460073971665,0.021772380221914994,1.091887432962778,True,2.148485851840218e-06,6.445457555520654e-06,-5.0864727724598024,True,0.0011086602532527725,0.0033259807597583175,1.6925816946974162,True
cycle,g2,paired,Ech,(A-A)-(S-S),12,12,0.002592195627233591,True,25.195879224412923,1.449019186220255,wilcoxon,0.05224609375,0.1044921875,0.6455946311162307,False,0.00341796875,0.0068359375,-1.8333482523079798,True,0.30126953125,0.90380859375,0.4050933115189075,False,0.00244140625,0.00732421875,-1.8932728039396898,True,0.05224609375,0.15673828125,0.6455946311162305,False
